City,Country,Latitude,Longitude,Date,Type,Number of Records,Description
Port Augusta,Australia,,,,,,I grew up here.
Adelaide,Australia,,,,,,"I have lived, studied and worked here for many years."
Melbourne,Australia,,,,Other,,
Sydney,Australia,,,,Holiday,,Went for a holiday here in 2019 after completing my post doctoral research.
Canberra,Australia,,,,Conferences,,"I have been to Canberra several times for talks, workshops and schools."
Namwon,South Korea,,,,Work,,I worked as an English language teacher at ELC school.
Seoul,South Korea,,,,Holiday,,
Tahiti,French Polynesia,-17.6509,-149.4260,,Conference,,Attended Compstar conference in 2012.
Noumea,New Caledonia,,,,,,Went for a holiday here in 2019 after completing my post doctoral research.
Isle of Pines,New Caledonia,-22.6149,167.4817,,,,Went for a holiday here in 2019 after completing my post doctoral research.
Lifou Isle,New Caledonia,-21.0385,167.2405,,,,Went for a holiday here in 2019 after completing my post doctoral research.
Mare,New Caledonia,-21.4931,167.9967,,,,Went for a holiday here in 2019 after completing my post doctoral research.
